Site,Date,Hour,Temperature,Dewpoint,RH,WindDir,Windspeed,CldFrac,MSLP,Weather,Precip,Source
KLAX,1/4/2015 0:00:00,7,47,39,74,0,0,0.1,30.31,FEW,0.00,NCDC
KLAX,1/4/2015 0:00:00,8,46,39,77,0,0,0.1,30.34,FEW,0.00,NCDC
KLAX,1/4/2015 0:00:00,9,53,39,59,0,0,0.1,30.35,FEW,0.00,NCDC
KLAX,1/4/2015 0:00:00,10,57,44,62,0,0,0.4,30.34,SCT,0.00,NCDC
KLAX,1/4/2015 0:00:00,11,60,42,52,VR,5,0.4,30.33,SCT,0.00,NCDC
KLAX,1/4/2015 0:00:00,12,60,45,58,260,6,0.4,30.29,SCT,0.00,NCDC
KLAX,1/4/2015 0:00:00,13,61,45,56,270,7,0.4,30.27,SCT,0.00,NCDC
KLAX,1/4/2015 0:00:00,14,59,49,70,270,10,0.4,30.28,SCT,0.00,NCDC
KLAX,1/4/2015 0:00:00,15,60,48,65,270,9,0.4,30.27,SCT,0.00,NCDC
KLAX,1/4/2015 0:00:00,16,60,47,62,270,10,0.4,30.27,SCT,0.00,NCDC
KLAX,1/4/2015 0:00:00,17,58,53,84,260,10,0.4,30.27,SCT,0.00,NCDC
KLAX,1/4/2015 0:00:00,18,57,52,83,280,7,0.4,30.28,SCT,0.00,NCDC
KLAX,1/4/2015 0:00:00,19,56,52,87,270,8,0.4,30.27,SCT,0.00,NCDC
KLAX,1/4/2015 0:00:00,20,56,53,90,270,6,0.4,30.28,SCT,0.00,NCDC
KLAX,1/4/2015 0:00:00,21,57,53,87,0,0,0.1,30.27,FEW,0.00,NCDC
KLAX,1/4/2015 0:00:00,22,55,50,83,60,3,0.1,30.27,FEW,0.00,NCDC
KLAX,1/4/2015 0:00:00,23,56,43,62,VR,7,0.1,30.25,FEW,0.00,NCDC
KLAX,1/5/2015 0:00:00,0,57,33,40,340,3,0.1,30.24,FEW,0.00,NCDC
KLAX,1/5/2015 0:00:00,1,58,31,36,0,0,0.4,30.24,SCT,0.00,NCDC
KLAX,1/5/2015 0:00:00,2,52,33,49,50,6,0.4,30.25,SCT,0.00,NCDC
KLAX,1/5/2015 0:00:00,3,53,31,43,40,9,0,30.24,CLR,0.00,NCDC
KLAX,1/5/2015 0:00:00,4,53,30,41,110,3,0,30.24,CLR,0.00,NCDC
KLAX,1/5/2015 0:00:00,5,54,28,37,20,6,0,30.22,CLR,0.00,NCDC
KLAX,1/5/2015 0:00:00,6,52,27,38,0,0,0,30.22,CLR,0.00,NCDC
KLAX,1/5/2015 0:00:00,7,57,25,29,20,6,0.4,30.23,SCT,0.00,NCDC
KLAX,1/5/2015 0:00:00,8,59,25,27,20,8,0.4,30.24,SCT,0.00,NCDC
KLAX,1/5/2015 0:00:00,9,63,26,25,10,7,0.4,30.26,SCT,0.00,NCDC
KLAX,1/5/2015 0:00:00,10,68,27,21,20,9,0.4,30.24,SCT,0.00,NCDC
KLAX,1/5/2015 0:00:00,11,73,25,17,VR,6,0.4,30.22,SCT,0.00,NCDC
KLAX,1/5/2015 0:00:00,12,75,26,16,30,5,0.4,30.19,SCT,0.00,NCDC
KLAX,1/5/2015 0:00:00,13,79,31,17,0,0,0.4,30.15,SCT,0.00,NCDC
KLAX,1/5/2015 0:00:00,14,75,41,30,270,7,0.4,30.15,SCT,0.00,NCDC
KLAX,1/5/2015 0:00:00,15,75,43,32,270,8,0.4,30.14,SCT,0.00,NCDC
KLAX,1/5/2015 0:00:00,16,75,33,22,310,7,0.4,30.14,SCT,0.00,NCDC
KLAX,1/5/2015 0:00:00,17,74,31,21,290,3,0.1,30.14,FEW,0.00,NCDC
KLAX,1/5/2015 0:00:00,18,72,34,25,0,0,0.1,30.14,FEW,0.00,NCDC
KLAX,1/5/2015 0:00:00,19,70,30,23,360,9,0.1,30.15,FEW,0.00,NCDC
KLAX,1/5/2015 0:00:00,20,68,26,21,10,7,0,30.16,CLR,0.00,NCDC
KLAX,1/5/2015 0:00:00,21,66,26,22,10,8,0,30.16,CLR,0.00,NCDC
KLAX,1/5/2015 0:00:00,22,64,27,25,0,0,0,30.16,CLR,0.00,NCDC
KLAX,1/5/2015 0:00:00,23,64,27,25,40,10,0,30.16,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,0,64,26,24,20,7,0,30.16,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,1,65,24,21,40,8,0,30.17,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,2,59,26,28,0,0,0,30.18,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,3,60,27,28,VR,7,0,30.18,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,4,58,26,29,40,7,0,30.17,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,5,58,27,31,70,6,0,30.16,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,6,59,26,28,40,6,0,30.16,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,7,58,26,29,40,8,0,30.17,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,8,64,26,24,30,6,0,30.18,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,9,68,27,21,20,6,0,30.19,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,10,73,26,17,40,10,0,30.19,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,11,76,27,16,40,9,0,30.17,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,12,79,29,16,VR,6,0,30.14,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,13,80,27,14,110,8,0,30.10,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,14,83,23,11,40,6,0,30.08,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,15,74,40,29,260,9,0,30.08,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,16,71,41,34,270,8,0,30.09,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,17,69,40,35,280,8,0.1,30.10,FEW,0.00,NCDC
KLAX,1/6/2015 0:00:00,18,69,39,34,320,3,0,30.11,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,19,66,43,43,300,3,0,30.12,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,20,68,36,31,10,8,0,30.11,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,21,66,35,32,40,5,0,30.12,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,22,65,32,29,20,7,0,30.11,CLR,0.00,NCDC
KLAX,1/6/2015 0:00:00,23,66,32,28,70,3,0,30.11,CLR,0.00,NCDC
KLAX,1/7/2015 0:00:00,0,64,32,30,50,8,0,30.11,CLR,0.00,NCDC
KLAX,1/7/2015 0:00:00,1,63,31,30,60,6,0,30.13,CLR,0.00,NCDC
KLAX,1/7/2015 0:00:00,2,58,33,39,120,3,0,30.12,CLR,0.00,NCDC
KLAX,1/7/2015 0:00:00,3,55,34,45,100,5,0,30.12,CLR,0.00,NCDC
KLAX,1/7/2015 0:00:00,4,57,32,39,0,0,0,30.10,CLR,0.00,NCDC
KLAX,1/7/2015 0:00:00,5,54,34,47,0,0,0.1,30.09,FEW,0.00,NCDC
KLAX,1/7/2015 0:00:00,6,59,31,35,360,3,0.1,30.11,FEW,0.00,NCDC
KLAX,1/7/2015 0:00:00,7,55,33,43,0,0,0.4,30.12,SCT,0.00,NCDC
KLAX,1/7/2015 0:00:00,8,60,34,38,60,3,0.7,30.12,BKN,0.00,NWS
KLAX,1/7/2015 0:00:00,9,65,35,33,50,5,0.4,30.13,SCT,0.00,NCDC
KLAX,1/7/2015 0:00:00,10,73,35,25,0,0,0.4,30.13,SCT,0.00,NCDC
KLAX,1/7/2015 0:00:00,11,76,34,22,VR,3,0.4,30.11,SCT,0.00,NCDC
KLAX,1/7/2015 0:00:00,12,70,46,42,270,10,0.4,30.10,SCT,0.00,NCDC
KLAX,1/7/2015 0:00:00,13,69,47,46,270,13,0.7,30.08,BKN,0.00,NWS
KLAX,1/7/2015 0:00:00,14,69,47,46,270,10,0.4,30.07,SCT,0.00,NCDC
KLAX,1/7/2015 0:00:00,15,68,45,44,260,8,0.7,30.06,BKN,0.00,NWS
KLAX,1/7/2015 0:00:00,16,67,41,39,270,9,0.7,30.06,BKN,0.00,NWS
KLAX,1/7/2015 0:00:00,17,65,44,47,250,7,0.7,30.06,BKN,0.00,NWS
KLAX,1/7/2015 0:00:00,18,63,45,52,260,7,0.7,30.07,BKN,0.00,NWS
KLAX,1/7/2015 0:00:00,19,63,49,60,0,0,0.7,30.07,BKN,0.00,NWS
KLAX,1/7/2015 0:00:00,20,62,47,58,130,6,0.4,30.06,SCT,0.00,NCDC
KLAX,1/7/2015 0:00:00,21,60,46,60,110,5,0.4,30.06,SCT,0.00,NCDC
KLAX,1/7/2015 0:00:00,22,60,44,56,110,6,0.4,30.05,SCT,0.00,NCDC
KLAX,1/7/2015 0:00:00,23,59,46,62,0,0,0.4,30.05,SCT,0.00,NCDC
KLAX,1/8/2015 0:00:00,0,59,48,67,0,0,0.4,30.05,SCT,0.00,NCDC
KLAX,1/8/2015 0:00:00,1,58,49,72,0,0,0.4,30.05,SCT,0.00,NCDC
KLAX,1/8/2015 0:00:00,2,55,48,77,0,0,0.4,30.05,SCT,0.00,NCDC
KLAX,1/8/2015 0:00:00,3,53,47,80,100,3,0.4,30.05,SCT,0.00,NCDC
KLAX,1/8/2015 0:00:00,4,52,46,80,0,0,0.7,30.04,BKN,0.00,NWS
KLAX,1/8/2015 0:00:00,5,53,46,77,0,0,0.7,30.04,BKN,0.00,NWS
KLAX,1/8/2015 0:00:00,6,52,47,83,0,0,0.7,30.05,BKN,0.00,NWS
KLAX,1/8/2015 0:00:00,7,54,45,72,VR,3,0.7,30.06,BKN,0.00,NWS
KLAX,1/8/2015 0:00:00,8,56,43,62,100,7,0.7,30.07,BKN,0.00,NWS
KLAX,1/8/2015 0:00:00,9,59,44,58,140,3,0.7,30.07,BKN,0.00,NWS
KLAX,1/8/2015 0:00:00,10,63,43,48,120,6,0.7,30.07,BKN,0.00,NWS
KLAX,1/8/2015 0:00:00,11,66,46,49,0,0,0.4,30.05,SCT,0.00,NCDC
KLAX,1/8/2015 0:00:00,12,69,44,41,0,0,0.1,30.02,FEW,0.00,NCDC
KLAX,1/8/2015 0:00:00,13,69,50,51,260,13,0.1,30.01,FEW,0.00,NCDC
KLAX,1/8/2015 0:00:00,14,66,53,63,260,10,0.4,30.01,SCT,0.00,NCDC
KLAX,1/8/2015 0:00:00,15,64,56,75,260,8,0.4,30.01,SCT,0.00,NCDC
KLAX,1/8/2015 0:00:00,16,63,57,81,250,6,0.4,30.01,SCT,0.00,NCDC
KLAX,1/8/2015 0:00:00,17,63,55,75,0,0,0.7,30.01,BKN,0.00,NWS
KLAX,1/8/2015 0:00:00,18,62,54,75,260,7,0.7,30.02,BKN,0.00,NWS
KLAX,1/8/2015 0:00:00,19,61,55,81,280,5,0.7,30.02,BKN,0.00,NWS
KLAX,1/8/2015 0:00:00,20,61,56,84,0,0,0.7,30.03,BKN,0.00,NWS
KLAX,1/8/2015 0:00:00,21,61,56,84,0,0,0.7,30.02,BKN,0.00,NWS
KLAX,1/8/2015 0:00:00,22,60,56,87,0,0,0.7,30.01,BKN,0.00,NWS
KLAX,1/8/2015 0:00:00,23,59,56,90,0,0,0.7,30.01,BKN,,NCDC
KLAX,1/9/2015 0:00:00,0,60,57,90,0,0,0.7,30.00,BKN,0.00,NWS
KLAX,1/9/2015 0:00:00,1,58,57,97,0,0,0.4,29.99,SCT,0.00,NCDC
KLAX,1/9/2015 0:00:00,2,58,53,84,0,0,0.7,29.99,BKN,0.00,NWS
KLAX,1/9/2015 0:00:00,3,57,52,83,110,3,0.7,29.98,BKN,0.00,NWS
KLAX,1/9/2015 0:00:00,4,58,52,81,0,0,0.7,29.98,BKN,0.00,NWS
KLAX,1/9/2015 0:00:00,5,56,53,90,0,0,0.7,29.98,BKN,0.00,NWS
KLAX,1/9/2015 0:00:00,6,57,52,83,0,0,0.7,29.99,BKN,0.00,NWS
KLAX,1/9/2015 0:00:00,7,58,51,78,0,0,0.4,30.01,SCT,0.00,NCDC
KLAX,1/9/2015 0:00:00,8,59,53,81,130,3,0.4,30.03,SCT,0.00,NCDC
KLAX,1/9/2015 0:00:00,9,62,56,81,130,3,0.4,30.04,SCT,0.00,NCDC
KLAX,1/9/2015 0:00:00,10,63,54,73,0,0,0.4,30.05,SCT,0.00,NCDC
KLAX,1/9/2015 0:00:00,11,66,51,59,110,5,0.4,30.03,SCT,0.00,NCDC
KLAX,1/9/2015 0:00:00,12,66,52,61,230,3,0.4,30.00,SCT,0.00,NCDC
KLAX,1/9/2015 0:00:00,13,67,53,61,250,6,0.4,29.97,SCT,0.00,NCDC
KLAX,1/9/2015 0:00:00,14,70,52,53,0,0,0.7,29.95,BKN,0.00,NWS
KLAX,1/9/2015 0:00:00,15,65,57,75,250,9,0.7,29.98,BKN,0.00,NWS
KLAX,1/9/2015 0:00:00,16,63,57,81,280,11,0.4,29.98,SCT,0.00,NCDC
KLAX,1/9/2015 0:00:00,17,61,58,90,260,9,0.7,30.00,BKN,0.00,NWS
KLAX,1/9/2015 0:00:00,18,60,57,90,270,7,0.4,30.00,SCT,0.00,NCDC
KLAX,1/9/2015 0:00:00,19,59,58,97,260,3,0.7,30.01,BKN,0.00,NWS
KLAX,1/9/2015 0:00:00,20,59,56,90,0,0,0.7,30.01,BKN,0.00,NWS
KLAX,1/9/2015 0:00:00,21,59,57,93,0,0,0.4,30.02,BR,0.00,NCDC
KLAX,1/9/2015 0:00:00,22,59,56,90,0,0,0.1,30.02,BR,0.00,NCDC
KLAX,1/9/2015 0:00:00,23,57,55,93,110,7,0.4,30.01,BR,0.00,NCDC
KLAX,1/10/2015 0:00:00,0,56,55,96,120,5,0.1,29.99,BR,0.00,NCDC
KLAX,1/10/2015 0:00:00,1,56,55,96,140,3,0.1,29.99,BR,0.00,NCDC
KLAX,1/10/2015 0:00:00,2,55,54,96,0,0,0.4,30.00,BR,0.00,NCDC
KLAX,1/10/2015 0:00:00,3,56,54,93,70,5,0.7,29.99,BR,0.00,NWS
KLAX,1/10/2015 0:00:00,4,55,52,90,0,0,0.7,29.98,BR,0.00,NWS
KLAX,1/10/2015 0:00:00,5,54,51,90,50,5,0.4,29.98,SCT,0.00,NCDC
KLAX,1/10/2015 0:00:00,6,54,48,80,120,3,0.1,29.98,FEW,0.00,NCDC
KLAX,1/10/2015 0:00:00,7,53,48,83,80,3,0.7,29.99,BKN,0.00,NWS
KLAX,1/10/2015 0:00:00,8,54,47,77,60,6,0.7,30.00,BKN,0.00,NWS
KLAX,1/10/2015 0:00:00,9,55,49,80,100,3,1,30.03,-RA,0.01,NCDC
KLAX,1/10/2015 0:00:00,10,58,52,81,100,3,0.7,30.04,BKN,1E-04,NCDC
KLAX,1/10/2015 0:00:00,11,60,54,81,70,3,0.7,30.03,BKN,1E-04,NCDC
KLAX,1/10/2015 0:00:00,12,60,54,81,VR,5,1,30.00,-RA,0.04,NCDC
KLAX,1/10/2015 0:00:00,13,61,53,75,20,6,1,29.98,HZ,1E-04,NCDC
KLAX,1/10/2015 0:00:00,14,58,52,81,50,7,1,29.97,-RA,0.01,NCDC
KLAX,1/10/2015 0:00:00,15,57,52,83,70,5,1,29.96,-RA,0.02,NCDC
KLAX,1/10/2015 0:00:00,16,57,54,90,VR,5,1,29.98,-RA BR,0.04,NCDC
KLAX,1/10/2015 0:00:00,17,56,53,90,80,5,1,29.98,-RA BR,0.07,NCDC
KLAX,1/10/2015 0:00:00,18,55,53,93,50,6,1,29.98,-RA BR,0.10,NCDC
KLAX,1/10/2015 0:00:00,19,55,54,96,90,7,1,29.99,-RA BR,0.05,NCDC
KLAX,1/10/2015 0:00:00,20,55,55,100,90,3,1,29.99,-RA BR,0.08,NCDC
KLAX,1/10/2015 0:00:00,21,56,55,96,110,3,1,30.01,+RA BR,0.11,NCDC
KLAX,1/10/2015 0:00:00,22,56,55,96,90,6,1,30.01,-RA BR,0.07,NCDC
KLAX,1/10/2015 0:00:00,23,55,54,96,VR,6,1,30.01,RA BR,0.05,NCDC
KLAX,1/11/2015 0:00:00,0,56,55,96,90,6,1,30.00,-RA BR,0.04,NCDC
KLAX,1/11/2015 0:00:00,1,57,56,96,0,0,1,29.98,-RA BR,0.08,NCDC
KLAX,1/11/2015 0:00:00,2,56,56,100,140,5,1,29.99,RA BR,0.10,NCDC
KLAX,1/11/2015 0:00:00,3,56,56,100,150,6,1,29.99,+RA BR,0.10,NCDC
KLAX,1/11/2015 0:00:00,4,56,55,96,70,5,1,29.98,-RA BR,0.06,NCDC
KLAX,1/11/2015 0:00:00,5,56,55,96,70,6,1,29.98,-RA BR,0.01,NCDC
KLAX,1/11/2015 0:00:00,6,56,55,96,70,5,1,29.98,RA BR,0.02,NCDC
KLAX,1/11/2015 0:00:00,7,56,55,96,50,5,1,30.00,-RA BR,0.01,NCDC
KLAX,1/11/2015 0:00:00,8,56,56,100,50,3,1,30.02,BR,1E-04,NCDC
KLAX,1/11/2015 0:00:00,9,57,55,93,50,6,1,30.05,-RA BR,0.01,NCDC
KLAX,1/11/2015 0:00:00,10,57,55,93,120,8,1,30.06,BR,1E-04,NCDC
KLAX,1/11/2015 0:00:00,11,58,57,97,90,7,1,30.06,BR,0.00,NWS
KLAX,1/11/2015 0:00:00,12,59,57,93,90,8,0.7,30.03,BKN,1E-04,NCDC
KLAX,1/11/2015 0:00:00,13,59,58,97,100,7,0.7,30.01,BKN,1E-04,NCDC
KLAX,1/11/2015 0:00:00,14,60,57,90,80,5,1,30.01,OVC,0.00,NWS
KLAX,1/11/2015 0:00:00,15,60,57,90,0,0,1,30.02,-RA,1E-04,NCDC
KLAX,1/11/2015 0:00:00,16,60,57,90,0,0,1,30.03,OVC,1E-04,NCDC
KLAX,1/11/2015 0:00:00,17,59,58,97,250,5,0.7,30.03,BKN,0.00,NWS
KLAX,1/11/2015 0:00:00,18,58,57,97,300,7,0.7,30.05,BKN,0.00,NWS
KLAX,1/11/2015 0:00:00,19,58,57,97,290,7,0.7,30.06,BKN,0.00,NWS
KLAX,1/11/2015 0:00:00,20,57,57,100,260,7,0.7,30.07,BKN,0.00,NWS
KLAX,1/11/2015 0:00:00,21,57,57,100,270,7,0.4,30.09,SCT,0.00,NCDC
KLAX,1/11/2015 0:00:00,22,57,57,100,230,5,0.4,30.10,SCT,0.00,NCDC
KLAX,1/11/2015 0:00:00,23,57,56,96,0,0,0.4,30.10,BR,0.00,NCDC
KLAX,1/12/2015 0:00:00,0,55,55,100,70,5,0.4,30.11,BCFG BR,0.00,NCDC
KLAX,1/12/2015 0:00:00,1,53,53,100,110,5,0.7,30.11,FG,0.00,NWS
KLAX,1/12/2015 0:00:00,2,54,54,100,90,3,1,30.13,FG,0.00,NWS
KLAX,1/12/2015 0:00:00,3,54,54,100,0,0,1,30.13,FG,0.00,NWS
KLAX,1/12/2015 0:00:00,4,54,54,100,60,3,1,30.12,BCFG BR,0.00,NWS
KLAX,1/12/2015 0:00:00,5,54,54,100,50,6,1,30.11,BCFG BR,0.00,NWS
KLAX,1/12/2015 0:00:00,6,53,53,100,110,5,0.7,30.13,BCFG BR,0.00,NWS
KLAX,1/12/2015 0:00:00,7,54,54,100,80,5,0.7,30.14,BKN,0.00,NWS
KLAX,1/12/2015 0:00:00,8,54,54,100,40,7,0.7,30.16,BCFG BR,0.00,NWS
KLAX,1/12/2015 0:00:00,9,55,53,93,80,5,0.7,30.18,BKN,0.00,NWS
KLAX,1/12/2015 0:00:00,10,59,54,84,VR,5,0.7,30.19,BR,0.00,NWS
KLAX,1/12/2015 0:00:00,11,60,55,84,130,3,0.4,30.18,SCT,0.00,NCDC
